,sentence,target,response
77,It’s 2 AM but I still have a lot to work on,coffee, A coffee would help me stay awake and focus.
78,I had an all-nighter but it is time to go to work,coffee, The coffee can help with the situation because it will give you energy to get through
79,I am craving caffeine,coffee, Caffeine can help with the craving for caffeine. It can help to give
80,Can you bring me some tissues?,tissues, The best option for tissues is a bottle. It is easy to carry around and
81,I need to blow my nose,tissues, The best option for blowing your nose is likely a bottle of water or some tissues
82,John has a ketchup smear on his face,tissues, The best object to help with this situation is a bottle. John can use the
83,I want to wipe my mouth,tissues, A bottle of water can help with the situation in the prompt the most because it
84,I spilled water on the couch,tissues, The coffee can help with the situation because it can help clean the couch.
85,I need to clean my face,tissues, A bottle of water can help with cleaning your face because it has a wet surface
86,John wants to dry his hands,tissues, The best option for drying hands would be a bottle of water. John can pour
87,My palms are  sweaty,tissues, A bottle of water would be the best option for helping with the situation in the
88,Give me something to wrap this croissant,tissues, The best option for wrapping a croissant would be a piece of paper or
89,I need something to wipe the screen on my phone,tissues, A banana would be the best option because it is soft and can be used to
90,Can you bring my teddy bear?,teddy bear, The teddy bear can help with the situation because it can be used as a
91,I want my toys,teddy bear, The best option for helping with this situation would be a bottle. It can be
92,I am scared,teddy bear,"

The object that can help the most in this situation is a cellphone."
93,I need a stuffed animal,teddy bear, A teddy bear can help with the situation because it can provide comfort.
94,I want to sleep,teddy bear, A banana would be the best option for helping with the situation because it is a
95,Where is my bear?,teddy bear, The teddy bear can help with the situation because it can provide comfort and security
96,A child is crying,teddy bear,"

The best object to help with the situation in the prompt the most would"
97,I need something to comfort me,teddy bear, The teddy bear is the best option because it is soft and cuddly
98,I want something plushy,teddy bear, A teddy bear would be a great choice for someone who wants something plushy
99,I need some cushion,teddy bear, A bottle of water would be the best option for cushion because it is heavy and
