,sentence,target,response,mark
52,Can you bring me something to cut with?,scissors," Scissors, because they are designed for cutting.",1
53,I want to open this package but it is wrapped really tight,scissors, Scissors - Scissors can be used to cut through the package and open it,1
54,I want to trim my hair,scissors, Scissors - Scissors are the best object to help with trimming hair.,1
55,I want to trim and prune the plants,scissors, Scissors - Scissors are the best object to help with trimming and pr,1
56,I need to snip this fishing line,scissors, Scissors - Scissors are the best object to help with the situation in the,1
57,Get me something to make a hole in this piece of fabric,scissors, Scissors - Scissors are the best object to make a hole in a piece,1
58,I want to cut this paper in half,scissors, Scissors - Scissors are the best object to help with the situation in the,1
59,"I need some tape, give me something to cut it",scissors, Scissors - Scissors can be used to cut tape.,1
60,Can you bring me a notebook?,notebook, A notebook can help with the situation in the prompt the most.,1
61,Where can I draw a doodle?,notebook, Notebook - It can provide a surface to draw a doodle.,1
62,I should write this in my diary,notebook," A notebook, because it is a tool used to write down thoughts and ideas in",1
63,Where is my journal?,notebook, Notebook - It is the most likely object to be used as a journal.,1
64,Bring me something I can sketch on,notebook, Notebook - A notebook can provide a surface to sketch on.,1
65,I want to see the instructions again. They are in my notebook,notebook, Notebook - It can help with the situation the most because it contains the instructions,1
66,Let me write this recipe somewhere,notebook, Notebook - A notebook can help with the situation in the prompt the most because,1
67,I should start journaling my everyday thoughts,notebook, Notebook - A notebook can help with journaling everyday thoughts.,1
68,Let me see my notes again,notebook, Notebook - It can help the person to review their notes.,1
69,I forgot John’s address but I remember I wrote it down in my everyday journal,notebook, Notebook - It can help the person find the address they wrote down in their,1
70,Can you bring me some coffee?,coffee," Coffee, because it is the object specifically requested in the prompt.",1
71,Can you bring me something caffeinated?,coffee, Coffee - Coffee is a caffeinated beverage that can help with the situation in the,1
72,I feel sleepy,coffee, Coffee - Coffee can help to increase alertness and energy levels.,1
73,I had a late night yesterday but I need to work now,coffee, Coffee - Coffee can help to provide a boost of energy and alertness to help,1
74,I should not sleep right now,coffee, Coffee - Coffee can help to keep a person awake and alert.,1
75,I need some nervous system stimulants,coffee, Ibuprofen - Ibuprofen is a non-steroidal anti,0
76,"This assignment is boring and I am falling asleep, but I need to get through it",coffee," Coffee - Coffee can help to increase alertness and energy levels, making it easier",1
77,It’s 2 AM but I still have a lot to work on,coffee, Coffee - Coffee can help to keep you awake and alert so that you can work,1
78,I had an all-nighter but it is time to go to work,coffee, Coffee - Coffee can help to provide a boost of energy and alertness to help,1
79,I am craving caffeine,coffee, Coffee - Coffee is a caffeinated beverage that can help satisfy a craving for caffeine,1
80,Can you bring me some tissues?,tissues," Tissues, because they are specifically designed to help with wiping away tears.",1
81,I need to blow my nose,tissues," Tissues, as they can be used to blow one's nose.",1
82,John has a ketchup smear on his face,tissues, Scissors - Scissors can be used to cut a tissue or paper towel to,0
83,I want to wipe my mouth,tissues, Tissues - Tissues are specifically designed to help wipe away moisture and other substances,1
84,I spilled water on the couch,tissues, A towel or tissues would be the best object to help with the situation in the,1
85,I need to clean my face,tissues, Tissues - Tissues can be used to clean the face.,1
86,John wants to dry his hands,tissues," Tissues, as they can be used to dry John's hands.",1
87,My palms are  sweaty,tissues, Tissues - Tissues can help to absorb the sweat from the palms.,1
88,Give me something to wrap this croissant,tissues, Scissors - Scissors can be used to cut wrapping paper or plastic wrap to,0
89,I need something to wipe the screen on my phone,tissues," Tissues. Tissues are designed to be soft and absorbent, making them",1
90,Can you bring my teddy bear?,teddy bear," Teddy bear, because it is specifically mentioned in the prompt.",1
91,I want my toys,teddy bear, Teddy bear - It can provide comfort and help to distract from the situation.,1
92,I am scared,teddy bear, Teddy bear. A teddy bear can provide comfort and a sense of security in,1
93,I need a stuffed animal,teddy bear, Teddy bear - It is specifically designed to be a stuffed animal.,1
94,I want to sleep,teddy bear, Teddy Bear - A teddy bear can help with sleeping by providing comfort and a,1
95,Where is my bear?,teddy bear, Teddy bear - It is the only object that is specifically mentioned in the prompt.,1
96,A child is crying,teddy bear, A teddy bear. A teddy bear can provide comfort and help the child,1
97,I need something to comfort me,teddy bear, A teddy bear can help to comfort the person in the prompt the most.,1
98,I want something plushy,teddy bear, Teddy bear - It is the only object that is specifically plushy.,1
99,I need some cushion,teddy bear, A teddy bear can help with the situation in the prompt the most because it,1
